scope,status,message,model,train_end_date,forecast_date,train_rows,test_rows,task_count,n,mae,rmse,predictive_log_likelihood,interval_coverage_95,directional_accuracy,mean_pred_std,mean_window_spearman,long_short_top1_bottom1_mean
multitask,ok,,plain,2024-03-29,2024-04-30,684,18,18,18,0.026607956715364717,0.030157252306044553,2.105818283124013,1.0,0.5,0.04254307620940236,0.5810113519091847,0.04764903043458957
multitask,ok,,plain,2024-04-30,2024-05-31,702,18,18,18,0.015993332402197503,0.021238915365530745,2.24913923505831,1.0,0.4444444444444444,0.04132179659562128,0.0608875128998968,0.0626580553327638
multitask,ok,,plain,2024-05-31,2024-06-28,720,18,18,18,0.034226566744726,0.04447212344345497,1.8868617610570806,1.0,0.3888888888888889,0.041042998125904145,-0.12280701754385966,-0.05164178624666316
multitask,ok,,plain,2024-06-28,2024-07-31,738,18,18,18,0.016871812727839653,0.020397656001859055,2.231514144747142,1.0,0.3888888888888889,0.0410565627762234,0.24458204334365324,0.0114422923613684
multitask,ok,,plain,2024-07-31,2024-08-30,756,18,18,18,0.019349596199935495,0.027220085634365045,2.1138969877674407,1.0,0.5555555555555556,0.04050067233936166,0.12693498452012383,0.01045845699254322
multitask,ok,,plain,2024-08-30,2024-09-30,774,18,18,18,0.03196860813840482,0.03587823361486158,1.9412018334260637,1.0,0.3888888888888889,0.04212782367881648,0.18885448916408668,0.027424586780022797
multitask,ok,,plain,2024-09-30,2024-10-31,792,18,18,18,0.029032270875327233,0.0421395482566433,2.0130043011089187,1.0,0.6111111111111112,0.04010675055476893,0.5170278637770898,0.05245903521262041
multitask,ok,,plain,2024-10-31,2024-11-29,810,18,18,18,0.03853919235031719,0.04934421328695778,1.8397567602537588,1.0,0.5,0.0433255740307806,-0.2507739938080495,0.03385065222130512
multitask,ok,,plain,2024-11-29,2024-12-31,828,18,18,18,0.013766488689599543,0.01755848407286037,2.269367533421568,1.0,0.5,0.04054536089029349,0.5190918472652218,0.00769497926508711
multitask,ok,,plain,2024-12-31,2025-01-31,846,18,18,18,0.020518701263117375,0.02699944009244173,2.1650602296210226,1.0,0.2777777777777778,0.04023300369112125,-0.44685242518059853,-0.05589893513284272
multitask,ok,,plain,2025-01-31,2025-02-28,864,18,18,18,0.026114313702829423,0.039151882381129634,2.0911830723348643,1.0,0.5,0.03995917792004396,-0.7110423116615068,-0.08936631040694754
multitask,ok,,plain,2025-02-28,2025-03-31,882,18,18,18,0.021133448186214487,0.02693308309446431,2.1930424753274442,1.0,0.3888888888888889,0.039771859745207326,-0.2239422084623323,0.01060555436113475
multitask,ok,,plain,2025-03-31,2025-04-30,900,18,18,18,0.029633593492471196,0.03749042461437828,2.063221452988699,1.0,0.6666666666666666,0.03964033183193639,0.651186790505676,0.10410726831907235
multitask,ok,,plain,2025-04-30,2025-05-30,918,18,18,18,0.029744522215012947,0.034381469105916794,2.063269200063384,1.0,0.5555555555555556,0.039442519662078,0.46955624355005166,0.04789390563985396
multitask,ok,,plain,2025-05-30,2025-06-30,936,18,18,18,0.008797889445985224,0.011530595344590135,2.361013411166223,1.0,0.5555555555555556,0.03931985434124527,0.4055727554179567,0.04503634301551718
multitask,ok,,plain,2025-06-30,2025-07-31,954,18,18,18,0.026616343369699393,0.03348768398194464,2.1225469327771007,1.0,0.6111111111111112,0.038939055955435294,0.3498452012383901,-0.007495136628170362
multitask,ok,,plain,2025-07-31,2025-08-29,972,18,18,18,0.014123881635929684,0.018684252172108475,2.3039681629165263,1.0,0.7222222222222222,0.0388113881519668,0.5128998968008256,0.04230204818473049
multitask,ok,,plain,2025-08-29,2025-09-30,990,18,18,18,0.0114197634623609,0.014136704453043224,2.357886659000309,1.0,0.3888888888888889,0.03855603439158137,0.07533539731682146,0.038228971425090075
multitask,ok,,plain,2025-09-30,2025-10-31,1008,18,18,18,0.009611875759558595,0.012827283189668243,2.3766871196650703,1.0,0.5555555555555556,0.03830626148714397,0.11248710010319916,-0.025042135355803352
multitask,ok,,plain,2025-10-31,2025-11-28,1026,18,18,18,0.008926801982737676,0.011761386061101097,2.3889947864087984,1.0,0.6111111111111112,0.03798587771829879,0.39938080495356043,0.004827946444697195
multitask,ok,,plain,2025-11-28,2025-12-31,1044,18,18,18,0.023020913871358628,0.030446830273534235,2.2297999366189907,1.0,0.7222222222222222,0.03557196197039077,0.4716202270381837,0.0405662510167113
multitask,ok,,plain,2025-12-31,2026-01-30,1062,18,18,18,0.025896400618371982,0.03136241712956815,2.1307661466692465,1.0,0.4444444444444444,0.03806372347621046,0.07533539731682146,-0.07106588969885874
multitask,ok,,plain,2026-01-30,2026-02-27,1080,18,18,18,0.054712194465071,0.06268624386571563,1.3439968794435186,0.8333333333333334,0.3888888888888889,0.03916207975056688,-0.43446852425180604,-0.02484970470916603
multitask,ok,,plain,2026-02-27,2026-03-31,1080,18,18,18,0.05599997420432339,0.07037267769166533,1.3408145045312532,0.7777777777777778,0.9444444444444444,0.03893742879620712,0.78328173374613,0.1402658545168587
