scope,status,message,model,train_end_date,forecast_date,train_rows,test_rows,task_count,n,mae,rmse,predictive_log_likelihood,interval_coverage_95,directional_accuracy,mean_pred_std,mean_window_spearman,long_short_top1_bottom1_mean
multitask,ok,,plain,2024-03-29,2024-04-30,684,18,18,18,0.030054450602873848,0.03341908476808831,2.087663971930807,1.0,0.2222222222222222,0.027560065049704055,0.5067079463364293,0.042664574643119346
multitask,ok,,plain,2024-04-30,2024-05-31,702,18,18,18,0.015914797811343875,0.02082563708931409,2.563344060598872,1.0,0.5,0.027274782637748643,0.21362229102167182,0.10176336740183967
multitask,ok,,plain,2024-05-31,2024-06-28,720,18,18,18,0.03601290647263269,0.04609411118348228,1.6665933727543718,0.8888888888888888,0.2222222222222222,0.027037939452414488,-0.15583075335397317,-0.07260674101484565
multitask,ok,,plain,2024-06-28,2024-07-31,738,18,18,18,0.0182566146152433,0.021651200370410174,2.417463911163721,1.0,0.3333333333333333,0.027081697824717744,0.19504643962848298,-0.021434121559213537
multitask,ok,,plain,2024-07-31,2024-08-30,756,18,18,18,0.02107983830287944,0.02867165119121315,2.13699716074498,0.8888888888888888,0.3888888888888889,0.026825321698074944,-0.06914344685242517,-0.027831146723106714
multitask,ok,,plain,2024-08-30,2024-09-30,774,18,18,18,0.029755611439346272,0.033523507779648555,1.8678089165543388,0.8333333333333334,0.6111111111111112,0.02664367451299425,0.4220846233230134,0.027424586780022797
multitask,ok,,plain,2024-09-30,2024-10-31,792,18,18,18,0.029734094637287236,0.043124062052252755,2.0013399408393897,0.8888888888888888,0.4444444444444444,0.026446318029857037,0.5562435500515995,0.06833616454392721
multitask,ok,,plain,2024-10-31,2024-11-29,810,18,18,18,0.03522165242684877,0.0458172556213095,1.741571536274134,0.7777777777777778,0.6111111111111112,0.02648459672497366,-0.19711042311661509,0.051863207737091854
multitask,ok,,plain,2024-11-29,2024-12-31,828,18,18,18,0.015061252042976262,0.018560751846774966,2.5309080363081224,1.0,0.3333333333333333,0.02643804224019083,0.48194014447884415,-0.0002645078243206367
multitask,ok,,plain,2024-12-31,2025-01-31,846,18,18,18,0.021124589654736226,0.027292025805391515,2.310245384111043,1.0,0.2222222222222222,0.026200653203463067,-0.43653250773993807,-0.03296369565358481
multitask,ok,,plain,2025-01-31,2025-02-28,864,18,18,18,0.025739538998532645,0.038709163510696615,2.222272566553471,0.8888888888888888,0.6111111111111112,0.026131974393876947,-0.78328173374613,-0.08941895957636725
multitask,ok,,plain,2025-02-28,2025-03-31,882,18,18,18,0.0206435857158134,0.027414599034211798,2.3143429092523937,0.9444444444444444,0.5555555555555556,0.026063070923610362,-0.3498452012383901,-0.03895779945329236
multitask,ok,,plain,2025-03-31,2025-04-30,900,18,18,18,0.030558965135406742,0.03833704746422073,2.0173663999199736,0.8888888888888888,0.5,0.026158938933490805,0.5727554179566564,0.062262335718128226
multitask,ok,,plain,2025-04-30,2025-05-30,918,18,18,18,0.03097164938765277,0.03550142076594713,1.9471750287513556,0.9444444444444444,0.3888888888888889,0.02605851065571992,0.41589267285861714,0.04789390563985396
multitask,ok,,plain,2025-05-30,2025-06-30,936,18,18,18,0.008446055212770752,0.010941857761147207,2.748026951070874,1.0,0.5,0.025926625781524257,0.4674922600619195,0.04503634301551718
multitask,ok,,plain,2025-06-30,2025-07-31,954,18,18,18,0.03452384552970888,0.04178386085023786,1.6740967934461306,0.8333333333333334,0.2222222222222222,0.02490014710988496,-0.25696594427244585,-0.032502200120898994
multitask,ok,,plain,2025-07-31,2025-08-29,972,18,18,18,0.015273709226157586,0.019696837212593254,2.5570890929108194,1.0,0.5555555555555556,0.025533748855165714,0.43653250773993807,0.04230204818473049
multitask,ok,,plain,2025-08-29,2025-09-30,990,18,18,18,0.011435510021900795,0.013776752341965244,2.678720453779153,1.0,0.3888888888888889,0.025306980314063043,0.18885448916408668,0.038228971425090075
multitask,ok,,plain,2025-09-30,2025-10-31,1008,18,18,18,0.010826701505072707,0.013453194203424475,2.738904840262186,1.0,0.5,0.025166587370304857,-0.0196078431372549,-0.02957239863941974
multitask,ok,,plain,2025-10-31,2025-11-28,1026,18,18,18,0.010031387275935437,0.012967757302163237,2.815993752575155,1.0,0.5555555555555556,0.022422228161566984,-0.09803921568627451,-0.0016407116290595436
multitask,ok,,plain,2025-11-28,2025-12-31,1044,18,18,18,0.028888709589127908,0.03658368740631857,2.001073451951122,0.7777777777777778,0.2777777777777778,0.024053735736191198,0.09803921568627451,-0.06238243370923913
multitask,ok,,plain,2025-12-31,2026-01-30,1062,18,18,18,0.02383879823040551,0.029216436520802334,2.2449497192905272,1.0,0.6111111111111112,0.02433218878500203,0.17440660474716205,0.036224097937759714
multitask,ok,,plain,2026-01-30,2026-02-27,1080,18,18,18,0.05547401508897006,0.0629700564286475,-0.10105615519467875,0.5,0.3888888888888889,0.02431784897037713,-0.24664602683178533,0.0736039689590654
multitask,ok,,plain,2026-02-27,2026-03-31,1080,18,18,18,0.052176962073655075,0.06525309889821047,0.6364501565146699,0.5,0.7777777777777778,0.02460414659317625,0.7069143446852425,0.1402658545168587
