scope,status,message,model,train_end_date,forecast_date,train_rows,test_rows,task_count,n,mae,rmse,predictive_log_likelihood,interval_coverage_95,directional_accuracy,mean_pred_std,mean_window_spearman,long_short_top1_bottom1_mean
multitask,ok,,plain,2024-03-29,2024-04-30,684,18,18,18,0.02888071993046613,0.03247549670139528,2.0721331733756174,1.0,0.3333333333333333,0.042618789789827596,0.3312693498452013,0.04764903043458957
multitask,ok,,plain,2024-04-30,2024-05-31,702,18,18,18,0.015678431604169117,0.02100712042670339,2.237105553907534,1.0,0.4444444444444444,0.04216373163900303,0.07533539731682146,0.0626580553327638
multitask,ok,,plain,2024-05-31,2024-06-28,720,18,18,18,0.03489189633678151,0.04514307504140798,1.8759614000923688,1.0,0.3333333333333333,0.04268119134234983,-0.15995872033023736,-0.07260674101484565
multitask,ok,,plain,2024-06-28,2024-07-31,738,18,18,18,0.01705214831983705,0.02063156368973516,2.197048294507329,1.0,0.3888888888888889,0.04283859516781783,0.2115583075335397,0.0114422923613684
multitask,ok,,plain,2024-07-31,2024-08-30,756,18,18,18,0.019436959962392183,0.02734828455438346,2.103014850857418,1.0,0.5555555555555556,0.0410711959899471,0.06501547987616099,0.01045845699254322
multitask,ok,,plain,2024-08-30,2024-09-30,774,18,18,18,0.03386949863993137,0.03768245044714677,1.9016618883389371,1.0,0.2777777777777778,0.043423352300812665,0.23426212590299278,0.027424586780022797
multitask,ok,,plain,2024-09-30,2024-10-31,792,18,18,18,0.028300737571565156,0.041478141466626546,2.0150703276023436,1.0,0.5555555555555556,0.04118590039657279,0.5603715170278638,0.06833616454392721
multitask,ok,,plain,2024-10-31,2024-11-29,810,18,18,18,0.0366037924613333,0.04759744710679416,1.8735836855087373,1.0,0.6111111111111112,0.0436474874146935,-0.1991744066047472,-0.036735017044542184
multitask,ok,,plain,2024-11-29,2024-12-31,828,18,18,18,0.014017802800378731,0.017694869560500898,2.272812021658773,1.0,0.5,0.04032406749274767,0.5273477812177503,0.00769497926508711
multitask,ok,,plain,2024-12-31,2025-01-31,846,18,18,18,0.020588451176405627,0.02699906880295015,2.1634406859203184,1.0,0.2777777777777778,0.04005440629139467,-0.44685242518059853,-0.05589893513284272
multitask,ok,,plain,2025-01-31,2025-02-28,864,18,18,18,0.02639760585793873,0.03958609591385221,2.085199645296662,1.0,0.4444444444444444,0.0399869809454406,-0.8039215686274509,-0.08941895957636725
multitask,ok,,plain,2025-02-28,2025-03-31,882,18,18,18,0.021131472626998733,0.027135836722014813,2.194963375848491,1.0,0.3888888888888889,0.039525154715147164,-0.3023735810113519,0.01060555436113475
multitask,ok,,plain,2025-03-31,2025-04-30,900,18,18,18,0.029712729578363115,0.03750202207657327,2.0661241810597986,1.0,0.5555555555555556,0.039349275343187835,0.653250773993808,0.10410726831907235
multitask,ok,,plain,2025-04-30,2025-05-30,918,18,18,18,0.03000416434767714,0.03458750944467234,2.060880535565749,1.0,0.5,0.03924215910834974,0.4901960784313726,0.04789390563985396
multitask,ok,,plain,2025-05-30,2025-06-30,936,18,18,18,0.008473715846734106,0.01115978146023144,2.3673582805704414,1.0,0.5,0.039208299782171226,0.4613003095975232,0.04503634301551718
multitask,ok,,plain,2025-06-30,2025-07-31,954,18,18,18,0.02673553126534977,0.03337001632346649,2.120884063823986,1.0,0.6111111111111112,0.03838509091679598,0.35810113519091846,-0.007495136628170362
multitask,ok,,plain,2025-07-31,2025-08-29,972,18,18,18,0.014622188704815405,0.0191595382774377,2.2934474701767704,1.0,0.6666666666666666,0.039150031251668556,0.5211558307533539,0.04230204818473049
multitask,ok,,plain,2025-08-29,2025-09-30,990,18,18,18,0.011474909361006565,0.014072962263264906,2.3474437764839586,1.0,0.3888888888888889,0.03899353644160189,0.07946336429308565,0.038228971425090075
multitask,ok,,plain,2025-09-30,2025-10-31,1008,18,18,18,0.010222166662385256,0.01301545206952866,2.383025108647881,1.0,0.5,0.03789467088840274,-0.027863777089783277,-0.025042135355803352
multitask,ok,,plain,2025-10-31,2025-11-28,1026,18,18,18,0.008842446980545614,0.011541385249257212,2.3966186102980886,1.0,0.6111111111111112,0.03785592182781575,0.3931888544891641,0.004827946444697195
multitask,ok,,plain,2025-11-28,2025-12-31,1044,18,18,18,0.023934068845896217,0.03130611371792165,2.2107922809953653,1.0,0.7222222222222222,0.03696668070746895,0.4757481940144479,-0.014432110498145079
multitask,ok,,plain,2025-12-31,2026-01-30,1062,18,18,18,0.025825957499840495,0.031340044733285145,2.1324045497462976,1.0,0.5555555555555556,0.03827502215139663,0.04231166150670795,-0.07106588969885874
multitask,ok,,plain,2026-01-30,2026-02-27,1080,18,18,18,0.054683761718656215,0.06272013366294192,1.304385621504318,0.8333333333333334,0.2222222222222222,0.037851846292250774,-0.5521155830753354,-0.026297206085142744
multitask,ok,,plain,2026-02-27,2026-03-31,1080,18,18,18,0.05538155708601636,0.06966688289297443,1.346412601137371,0.7777777777777778,1.0,0.03859688894750082,0.7874097007223942,0.1402658545168587
